SoilType,yearType,ProportionStart,pred
Gypsic,Normal,0,0.11221513702267193
Gypsic,Normal,0.1,0.11954045911035445
Gypsic,Normal,0.2,0.1272754179199279
Gypsic,Normal,0.30000000000000004,0.13543388599393677
Gypsic,Normal,0.4,0.14402901227304374
Gypsic,Normal,0.5,0.15307303859985877
Gypsic,Normal,0.6000000000000001,0.16257710388885596
Gypsic,Normal,0.7000000000000001,0.1725510375548815
Gypsic,Normal,0.8,0.18300314431567144
Gypsic,Normal,0.9,0.19393998304004822
Gypsic,Normal,1,0.20536614288813998
Bedrock and Colluvium,Normal,0,0.028188886011228695
Bedrock and Colluvium,Normal,0.1,0.035835971723091276
Bedrock and Colluvium,Normal,0.2,0.045460516613323405
Bedrock and Colluvium,Normal,0.30000000000000004,0.057515749055147565
Bedrock and Colluvium,Normal,0.4,0.07252490115233087
Bedrock and Colluvium,Normal,0.5,0.09107232483220318
Bedrock and Colluvium,Normal,0.6000000000000001,0.11378114284688479
Bedrock and Colluvium,Normal,0.7000000000000001,0.14127229161913657
Bedrock and Colluvium,Normal,0.8,0.1741008003821862
Bedrock and Colluvium,Normal,0.9,0.21266865060765397
Bedrock and Colluvium,Normal,1,0.25712041649025946
Gravelly and Calcic,Normal,0,0.043909860215921054
Gravelly and Calcic,Normal,0.1,0.05226432793595452
Gravelly and Calcic,Normal,0.2,0.06210509720153918
Gravelly and Calcic,Normal,0.30000000000000004,0.07365476836760458
Gravelly and Calcic,Normal,0.4,0.08715273928403554
Gravelly and Calcic,Normal,0.5,0.10284970641282576
Gravelly and Calcic,Normal,0.6000000000000001,0.12099909019580923
Gravelly and Calcic,Normal,0.7000000000000001,0.1418448355666338
Gravelly and Calcic,Normal,0.8,0.16560528100959404
Gravelly and Calcic,Normal,0.9,0.19245324529569066
Gravelly and Calcic,Normal,1,0.22249317767389445
Sandy and Deep Sand,Normal,0,0.050330735852210685
Sandy and Deep Sand,Normal,0.1,0.05976121068437806
Sandy and Deep Sand,Normal,0.2,0.07082689141989484
Sandy and Deep Sand,Normal,0.30000000000000004,0.08375901987622654
Sandy and Deep Sand,Normal,0.4,0.09880132002203422
Sandy and Deep Sand,Normal,0.5,0.11620245808418263
Sandy and Deep Sand,Normal,0.6000000000000001,0.1362051318109247
Sandy and Deep Sand,Normal,0.7000000000000001,0.1590314231396568
Sandy and Deep Sand,Normal,0.8,0.18486442696614372
Sandy and Deep Sand,Normal,0.9,0.21382677153556415
Sandy and Deep Sand,Normal,1,0.24595746082832778
Bottomland,Normal,0,0.15323705677617286
Bottomland,Normal,0.1,0.162330715946153
Bottomland,Normal,0.2,0.17185450197249658
Bottomland,Normal,0.30000000000000004,0.18181576257457535
Bottomland,Normal,0.4,0.1922203939026931
Bottomland,Normal,0.5,0.20307266086659467
Bottomland,Normal,0.6000000000000001,0.21437501796130892
Bottomland,Normal,0.7000000000000001,0.22612793375173998
Bottomland,Normal,0.8,0.23832972253530973
Bottomland,Normal,0.9,0.25097638700840524
Bottomland,Normal,1,0.2640614759967331
Loamy-Clayey,Normal,0,0.08183009386863045
Loamy-Clayey,Normal,0.1,0.09419219455968932
Loamy-Clayey,Normal,0.2,0.10820176097860275
Loamy-Clayey,Normal,0.30000000000000004,0.12400975515862193
Loamy-Clayey,Normal,0.4,0.14176013704835652
Loamy-Clayey,Normal,0.5,0.16158259825955223
Loamy-Clayey,Normal,0.6000000000000001,0.18358394633109498
Loamy-Clayey,Normal,0.7000000000000001,0.20783840863708783
Loamy-Clayey,Normal,0.8,0.2343773591648065
Loamy-Clayey,Normal,0.9,0.26317922912299496
Loamy-Clayey,Normal,1,0.29416060310404646
Gravelly and Calcic,Wet,0,0.04479343618469026
Gravelly and Calcic,Wet,0.1,0.05312432863033765
Gravelly and Calcic,Wet,0.2,0.06290260650755793
Gravelly and Calcic,Wet,0.30000000000000004,0.07433940862074977
Gravelly and Calcic,Wet,0.4,0.08766110352292339
Gravelly and Calcic,Wet,0.5,0.10310415558544425
Gravelly and Calcic,Wet,0.6000000000000001,0.12090723245785565
Gravelly and Calcic,Wet,0.7000000000000001,0.14130008094732568
Gravelly and Calcic,Wet,0.8,0.16448891003896543
Gravelly and Calcic,Wet,0.9,0.19063841085805144
Gravelly and Calcic,Wet,1,0.21985113647570306
Bedrock and Colluvium,Wet,0,0.018305181137566795
Bedrock and Colluvium,Wet,0.1,0.024634544497869473
Bedrock and Colluvium,Wet,0.2,0.033078662780888696
Bedrock and Colluvium,Wet,0.30000000000000004,0.044285798006223225
Bedrock and Colluvium,Wet,0.4,0.0590580240869155
Bedrock and Colluvium,Wet,0.5,0.07835377955779738
Bedrock and Colluvium,Wet,0.6000000000000001,0.10326208098454125
Bedrock and Colluvium,Wet,0.7000000000000001,0.13492938283559555
Bedrock and Colluvium,Wet,0.8,0.17441916728320264
Bedrock and Colluvium,Wet,0.9,0.22249387530927667
Bedrock and Colluvium,Wet,1,0.2793359045414313
Gypsic,Wet,0,0.08564677712464279
Gypsic,Wet,0.1,0.09931644679242471
Gypsic,Wet,0.2,0.11489371721300617
Gypsic,Wet,0.30000000000000004,0.13255463120416666
Gypsic,Wet,0.4,0.1524626711399156
Gypsic,Wet,0.5,0.1747582862632657
Gypsic,Wet,0.6000000000000001,0.1995466890716042
Gypsic,Wet,0.7000000000000001,0.22688449594632343
Gypsic,Wet,0.8,0.25676617839547605
Gypsic,Wet,0.9,0.2891116848301161
Gypsic,Wet,1,0.32375689929545687
Bottomland,Wet,0,0.06133410222360628
