SoilType,yearType,ProportionStart,pred
Gypsic,Normal,0,0.251605618
Gypsic,Normal,0.1,0.261154988
Gypsic,Normal,0.2,0.270935582
Gypsic,Normal,0.3,0.28094319
Gypsic,Normal,0.4,0.291172819
Gypsic,Normal,0.5,0.301618686
Gypsic,Normal,0.6,0.312274204
Gypsic,Normal,0.7,0.323131987
Gypsic,Normal,0.8,0.334183845
Gypsic,Normal,0.9,0.345420801
Gypsic,Normal,1,0.356833101
Bedrock and Colluvium,Normal,0,0.133313804
Bedrock and Colluvium,Normal,0.1,0.13239546
Bedrock and Colluvium,Normal,0.2,0.131482482
Bedrock and Colluvium,Normal,0.3,0.130574853
Bedrock and Colluvium,Normal,0.4,0.129672554
Bedrock and Colluvium,Normal,0.5,0.128775566
Bedrock and Colluvium,Normal,0.6,0.127883871
Bedrock and Colluvium,Normal,0.7,0.126997451
Bedrock and Colluvium,Normal,0.8,0.126116287
Bedrock and Colluvium,Normal,0.9,0.125240359
Bedrock and Colluvium,Normal,1,0.124369649
Bottomland,Normal,0,0.079314844
Bottomland,Normal,0.1,0.086216172
Bottomland,Normal,0.2,0.093656913
Bottomland,Normal,0.3,0.101668366
Bottomland,Normal,0.4,0.110281737
Bottomland,Normal,0.5,0.11952774
Bottomland,Normal,0.6,0.129436154
Bottomland,Normal,0.7,0.140035303
Bottomland,Normal,0.8,0.151351492
Bottomland,Normal,0.9,0.163408373
Bottomland,Normal,1,0.176226278
Gravelly and Calcic,Normal,0,0.109623685
Gravelly and Calcic,Normal,0.1,0.112537522
Gravelly and Calcic,Normal,0.2,0.115518761
Gravelly and Calcic,Normal,0.3,0.118568425
Gravelly and Calcic,Normal,0.4,0.121687522
Gravelly and Calcic,Normal,0.5,0.124877047
Gravelly and Calcic,Normal,0.6,0.128137975
Gravelly and Calcic,Normal,0.7,0.131471263
Gravelly and Calcic,Normal,0.8,0.134877847
Gravelly and Calcic,Normal,0.9,0.138358638
Gravelly and Calcic,Normal,1,0.141914523
Sandy and Deep Sand,Normal,0,0.054628508
Sandy and Deep Sand,Normal,0.1,0.060680872
Sandy and Deep Sand,Normal,0.2,0.067356011
Sandy and Deep Sand,Normal,0.3,0.074707041
Sandy and Deep Sand,Normal,0.4,0.082789124
Sandy and Deep Sand,Normal,0.5,0.091658944
Sandy and Deep Sand,Normal,0.6,0.101374025
Sandy and Deep Sand,Normal,0.7,0.111991866
Sandy and Deep Sand,Normal,0.8,0.123568888
Sandy and Deep Sand,Normal,0.9,0.136159169
Sandy and Deep Sand,Normal,1,0.149812982
Loamy-Clayey,Normal,0,0.067629105
Loamy-Clayey,Normal,0.1,0.074355699
Loamy-Clayey,Normal,0.2,0.08169272
Loamy-Clayey,Normal,0.3,0.089683573
Loamy-Clayey,Normal,0.4,0.098372329
Loamy-Clayey,Normal,0.5,0.107803184
Loamy-Clayey,Normal,0.6,0.118019818
Loamy-Clayey,Normal,0.7,0.12906463
Loamy-Clayey,Normal,0.8,0.140977847
Loamy-Clayey,Normal,0.9,0.153796522
Loamy-Clayey,Normal,1,0.167553414
Gypsic,Wet,0,0.505147808
Gypsic,Wet,0.1,0.49687812
Gypsic,Wet,0.2,0.48861014
Gypsic,Wet,0.3,0.480348387
Gypsic,Wet,0.4,0.472097368
Gypsic,Wet,0.5,0.463861565
Gypsic,Wet,0.6,0.455645428
Gypsic,Wet,0.7,0.447453363
Gypsic,Wet,0.8,0.439289725
Gypsic,Wet,0.9,0.431158808
Gypsic,Wet,1,0.423064836
Bedrock and Colluvium,Wet,0,0.106964128
Bedrock and Colluvium,Wet,0.1,0.114787691
Bedrock and Colluvium,Wet,0.2,0.123104603
Bedrock and Colluvium,Wet,0.3,0.131934301
Bedrock and Colluvium,Wet,0.4,0.141295265
Bedrock and Colluvium,Wet,0.5,0.151204715
Bedrock and Colluvium,Wet,0.6,0.161678291
Bedrock and Colluvium,Wet,0.7,0.172729712
Bedrock and Colluvium,Wet,0.8,0.184370409
Bedrock and Colluvium,Wet,0.9,0.19660916
Bedrock and Colluvium,Wet,1,0.209451706
Gravelly and Calcic,Wet,0,0.173047722
Gravelly and Calcic,Wet,0.1,0.179602847
Gravelly and Calcic,Wet,0.2,0.186350328
Gravelly and Calcic,Wet,0.3,0.193291578
Gravelly and Calcic,Wet,0.4,0.20042769
Gravelly and Calcic,Wet,0.5,0.207759408
Gravelly and Calcic,Wet,0.6,0.215287111
Gravelly and Calcic,Wet,0.7,0.223010786
Gravelly and Calcic,Wet,0.8,0.230930011
Gravelly and Calcic,Wet,0.9,0.239043935
Gravelly and Calcic,Wet,1,0.247351257
Bottomland,Wet,0,0.16650818
Bottomland,Wet,0.1,0.179696805
Bottomland,Wet,0.2,0.193687309
Bottomland,Wet,0.3,0.208490216
Bottomland,Wet,0.4,0.224110012
Bottomland,Wet,0.5,0.240544387
Bottomland,Wet,0.6,0.257783518
Bottomland,Wet,0.7,0.275809442
Bottomland,Wet,0.8,0.294595552
Bottomland,Wet,0.9,0.314106239
Bottomland,Wet,1,0.334296726
Sandy and Deep Sand,Wet,0,0.143613709
Sandy and Deep Sand,Wet,0.1,0.152769812
Sandy and Deep Sand,Wet,0.2,0.162398965
Sandy and Deep Sand,Wet,0.3,0.172511466
Sandy and Deep Sand,Wet,0.4,0.183116003
Sandy and Deep Sand,Wet,0.5,0.194219414
Sandy and Deep Sand,Wet,0.6,0.205826452
Sandy and Deep Sand,Wet,0.7,0.21793954
Sandy and Deep Sand,Wet,0.8,0.23055854
Sandy and Deep Sand,Wet,0.9,0.243680534
Sandy and Deep Sand,Wet,1,0.257299616
Loamy-Clayey,Wet,0,0.141319661
Loamy-Clayey,Wet,0.1,0.152492221
Loamy-Clayey,Wet,0.2,0.16437898
Loamy-Clayey,Wet,0.3,0.176998799
Loamy-Clayey,Wet,0.4,0.190366757
Loamy-Clayey,Wet,0.5,0.204493475
Loamy-Clayey,Wet,0.6,0.219384447
Loamy-Clayey,Wet,0.7,0.235039384
Loamy-Clayey,Wet,0.8,0.251451589
Loamy-Clayey,Wet,0.9,0.268607404
Loamy-Clayey,Wet,1,0.286485738
Gravelly and Calcic,Dry,0,0.050614559
Gravelly and Calcic,Dry,0.1,0.058027415
Gravelly and Calcic,Dry,0.2,0.066449948
Gravelly and Calcic,Dry,0.3,0.075996359
Gravelly and Calcic,Dry,0.4,0.086786742
Gravelly and Calcic,Dry,0.5,0.098945143
Gravelly and Calcic,Dry,0.6,0.11259686
Gravelly and Calcic,Dry,0.7,0.127864852
Gravelly and Calcic,Dry,0.8,0.144865191
Gravelly and Calcic,Dry,0.9,0.16370156
Gravelly and Calcic,Dry,1,0.184458845
Gypsic,Dry,0,0.087003679
Gypsic,Dry,0.1,0.102959406
Gypsic,Dry,0.2,0.121452025
Gypsic,Dry,0.3,0.142737603
Gypsic,Dry,0.4,0.167044369
Gypsic,Dry,0.5,0.194550962
Gypsic,Dry,0.6,0.225361506
Gypsic,Dry,0.7,0.259479518
Gypsic,Dry,0.8,0.296783814
Gypsic,Dry,0.9,0.337010458
Gypsic,Dry,1,0.379745138
Bedrock and Colluvium,Dry,0,0.051220294
Bedrock and Colluvium,Dry,0.1,0.058462104
Bedrock and Colluvium,Dry,0.2,0.066655869
Bedrock and Colluvium,Dry,0.3,0.07590545
Bedrock and Colluvium,Dry,0.4,0.086319853
Bedrock and Colluvium,Dry,0.5,0.098011586
Bedrock and Colluvium,Dry,0.6,0.111094375
Bedrock and Colluvium,Dry,0.7,0.125680155
Bedrock and Colluvium,Dry,0.8,0.141875282
Bedrock and Colluvium,Dry,0.9,0.159775944
Bedrock and Colluvium,Dry,1,0.179462825
Sandy and Deep Sand,Dry,0,0.017272639
