SoilType,yearType,ProportionStart,pred
Gravelly and Calcic,Normal,0,0.006729721835290678
Gravelly and Calcic,Normal,0.1,0.010850623000128528
Gravelly and Calcic,Normal,0.2,0.017450597740211578
Gravelly and Calcic,Normal,0.30000000000000004,0.027951615514977726
Gravelly and Calcic,Normal,0.4,0.0444855935515581
Gravelly and Calcic,Normal,0.5,0.07009452155015848
Gravelly and Calcic,Normal,0.6000000000000001,0.10876755744094237
Gravelly and Calcic,Normal,0.7000000000000001,0.16499176434087973
Gravelly and Calcic,Normal,0.8,0.24237546590174847
Gravelly and Calcic,Normal,0.9,0.3412219013384194
Gravelly and Calcic,Normal,1,0.45611133961165934
Gypsic,Normal,0,0.002848893316289139
Gypsic,Normal,0.1,0.005724123000486456
Gypsic,Normal,0.2,0.011467789785264164
Gypsic,Normal,0.30000000000000004,0.022842329289254594
Gypsic,Normal,0.4,0.04498549998300463
Gypsic,Normal,0.5,0.08668975205201111
Gypsic,Normal,0.6000000000000001,0.16055645413380162
Gypsic,Normal,0.7000000000000001,0.27819207959376474
Gypsic,Normal,0.8,0.4371342212434693
Gypsic,Normal,0.9,0.6101268472377657
Gypsic,Normal,1,0.7592353294475346
Bedrock and Colluvium,Normal,0,0.008979156338726415
Bedrock and Colluvium,Normal,0.1,0.01329742716166812
Bedrock and Colluvium,Normal,0.2,0.019651267445612176
Bedrock and Colluvium,Normal,0.30000000000000004,0.028952046457601396
Bedrock and Colluvium,Normal,0.4,0.04246413242999934
Bedrock and Colluvium,Normal,0.5,0.0618805226019055
Bedrock and Colluvium,Normal,0.6000000000000001,0.08934650967338573
Bedrock and Colluvium,Normal,0.7000000000000001,0.1273485142462682
Bedrock and Colluvium,Normal,0.8,0.17834845158650203
Bedrock and Colluvium,Normal,0.9,0.24406042465517758
Bedrock and Colluvium,Normal,1,0.3244240673479363
Bottomland,Normal,0,0.008160058873789436
Bottomland,Normal,0.1,0.013971664698712517
Bottomland,Normal,0.2,0.023822889677957964
Bottomland,Normal,0.30000000000000004,0.04033593359260909
Bottomland,Normal,0.4,0.06750362456783111
Bottomland,Normal,0.5,0.11085597703265468
Bottomland,Normal,0.6000000000000001,0.1767722408463885
Bottomland,Normal,0.7000000000000001,0.2699819453740389
Bottomland,Normal,0.8,0.3891093461455669
Bottomland,Normal,0.9,0.5231332266869719
Bottomland,Normal,1,0.6539065472721143
Sandy and Deep Sand,Normal,0,0.008980654446565855
Sandy and Deep Sand,Normal,0.1,0.01424996014663026
Sandy and Deep Sand,Normal,0.2,0.022540655520913073
Sandy and Deep Sand,Normal,0.30000000000000004,0.03548129687467409
Sandy and Deep Sand,Normal,0.4,0.055429890766646096
Sandy and Deep Sand,Normal,0.5,0.0855987870375828
Sandy and Deep Sand,Normal,0.6000000000000001,0.12992910607469096
Sandy and Deep Sand,Normal,0.7000000000000001,0.19238713634230276
Sandy and Deep Sand,Normal,0.8,0.2753670046239534
Sandy and Deep Sand,Normal,0.9,0.37741190740933384
Sandy and Deep Sand,Normal,1,0.4916169469702505
Loamy-Clayey,Normal,0,0.0098126146819851965
Loamy-Clayey,Normal,0.1,0.015774911003232053
Loamy-Clayey,Normal,0.2,0.025267544730401614
Loamy-Clayey,Normal,0.30000000000000004,0.04023888132681829
Loamy-Clayey,Normal,0.4,0.06350300333172938
Loamy-Clayey,Normal,0.5,0.0988322428825398
Loamy-Clayey,Normal,0.6000000000000001,0.15065462326414267
Loamy-Clayey,Normal,0.7000000000000001,0.22292796306171578
Loamy-Clayey,Normal,0.8,0.3169351133746328
Loamy-Clayey,Normal,0.9,0.4287136854363391
Loamy-Clayey,Normal,1,0.5482717721733864
Gravelly and Calcic,Wet,0,0.018978444860039474
Gravelly and Calcic,Wet,0.1,0.02847826282481469
Gravelly and Calcic,Wet,0.2,0.04252715561007907
Gravelly and Calcic,Wet,0.30000000000000004,0.06305681443857591
Gravelly and Calcic,Wet,0.4,0.0925391617364643
Gravelly and Calcic,Wet,0.5,0.13383700081146532
Gravelly and Calcic,Wet,0.6000000000000001,0.18971202553796637
Gravelly and Calcic,Wet,0.7000000000000001,0.26186175512963233
Gravelly and Calcic,Wet,0.8,0.3496117144330014
Gravelly and Calcic,Wet,0.9,0.44888460312749284
Gravelly and Calcic,Wet,1,0.552404253962966
Gypsic,Wet,0,0.007441463042512313
Gypsic,Wet,0.1,0.014373683539025666
Gypsic,Wet,0.2,0.027584261137948134
Gypsic,Wet,0.30000000000000004,0.05229225770534768
Gypsic,Wet,0.4,0.09692591952106776
Gypsic,Wet,0.5,0.1727134317198051
Gypsic,Wet,0.6000000000000001,0.2888086488421656
Gypsic,Wet,0.7000000000000001,0.4413125238605752
Gypsic,Wet,0.8,0.6057550499356109
Gypsic,Wet,0.9,0.7492926872594285
Gypsic,Wet,1,0.8532326693641806
Bedrock and Colluvium,Wet,0,0.02057183277943571
Bedrock and Colluvium,Wet,0.1,0.029989199454543546
Bedrock and Colluvium,Wet,0.2,0.04352605952719657
