SoilType,yearType,ProportionStart,pred
Gravelly and Calcic,Normal,0,0.002360031
Gravelly and Calcic,Normal,0.1,0.004895074
Gravelly and Calcic,Normal,0.2,0.010125512
Gravelly and Calcic,Normal,0.3,0.020827755
Gravelly and Calcic,Normal,0.4,0.042357778
Gravelly and Calcic,Normal,0.5,0.084229292
Gravelly and Calcic,Normal,0.6,0.160552308
Gravelly and Calcic,Normal,0.7,0.284545371
Gravelly and Calcic,Normal,0.8,0.452660575
Gravelly and Calcic,Normal,0.9,0.632317613
Gravelly and Calcic,Normal,1,0.781473036
Gypsic,Normal,0,0.007363269
Gypsic,Normal,0.1,0.014935623
Gypsic,Normal,0.2,0.030059532
Gypsic,Normal,0.3,0.059571861
Gypsic,Normal,0.4,0.114634785
Gypsic,Normal,0.5,0.209267569
Gypsic,Normal,0.6,0.351046355
Gypsic,Normal,0.7,0.525093889
Gypsic,Normal,0.8,0.693251132
Gypsic,Normal,0.9,0.822045214
Gypsic,Normal,1,0.904232995
Bedrock and Colluvium,Normal,0,0.001648037
Bedrock and Colluvium,Normal,0.1,0.003628047
Bedrock and Colluvium,Normal,0.2,0.007967928
Bedrock and Colluvium,Normal,0.3,0.017408484
Bedrock and Colluvium,Normal,0.4,0.037610329
Bedrock and Colluvium,Normal,0.5,0.07936212
Bedrock and Colluvium,Normal,0.6,0.159768643
Bedrock and Colluvium,Normal,0.7,0.295492528
Bedrock and Colluvium,Normal,0.8,0.480569719
Bedrock and Colluvium,Normal,0.9,0.671137615
Bedrock and Colluvium,Normal,1,0.818234255
Bottomland,Normal,0,0.006722161
Bottomland,Normal,0.1,0.011095387
Bottomland,Normal,0.2,0.01826139
Bottomland,Normal,0.3,0.029915579
Bottomland,Normal,0.4,0.04863884
Bottomland,Normal,0.5,0.078136561
Bottomland,Normal,0.6,0.123206826
Bottomland,Normal,0.7,0.188945855
Bottomland,Normal,0.8,0.278615021
Bottomland,Normal,0.9,0.390357527
Bottomland,Normal,1,0.514926246
Sandy and Deep Sand,Normal,0,0.00326253
Sandy and Deep Sand,Normal,0.1,0.0060572
Sandy and Deep Sand,Normal,0.2,0.011218831
Sandy and Deep Sand,Normal,0.3,0.020687387
Sandy and Deep Sand,Normal,0.4,0.037841452
Sandy and Deep Sand,Normal,0.5,0.068228737
Sandy and Deep Sand,Normal,0.6,0.11997479
Sandy and Deep Sand,Normal,0.7,0.20243955
Sandy and Deep Sand,Normal,0.8,0.320916375
Sandy and Deep Sand,Normal,0.9,0.468040856
Sandy and Deep Sand,Normal,1,0.620940366
Loamy-Clayey,Normal,0,0.00772754
Loamy-Clayey,Normal,0.1,0.012111003
Loamy-Clayey,Normal,0.2,0.018933547
Loamy-Clayey,Normal,0.3,0.029484754
Loamy-Clayey,Normal,0.4,0.045642341
Loamy-Clayey,Normal,0.5,0.07001548
Loamy-Clayey,Normal,0.6,0.1059589
Loamy-Clayey,Normal,0.7,0.157234641
Loamy-Clayey,Normal,0.8,0.227022948
Loamy-Clayey,Normal,0.9,0.316166142
Loamy-Clayey,Normal,1,0.421237342
Gravelly and Calcic,Wet,0,0.00226358
Gravelly and Calcic,Wet,0.1,0.004663303
Gravelly and Calcic,Wet,0.2,0.009582646
Gravelly and Calcic,Wet,0.3,0.019589297
Gravelly and Calcic,Wet,0.4,0.039627275
Gravelly and Calcic,Wet,0.5,0.078520601
Gravelly and Calcic,Wet,0.6,0.149639032
Gravelly and Calcic,Wet,0.7,0.26653964
Gravelly and Calcic,Wet,0.8,0.42872227
Gravelly and Calcic,Wet,0.9,0.607810555
Gravelly and Calcic,Wet,1,0.761932307
Gypsic,Wet,0,0.007666624
Gypsic,Wet,0.1,0.014026017
Gypsic,Wet,0.2,0.025524781
Gypsic,Wet,0.3,0.046010519
Gypsic,Wet,0.4,0.081561629
Gypsic,Wet,0.5,0.140535526
Gypsic,Wet,0.6,0.231407183
Gypsic,Wet,0.7,0.356654182
Gypsic,Wet,0.8,0.505137554
Gypsic,Wet,0.9,0.652720175
Gypsic,Wet,1,0.775822282
Bedrock and Colluvium,Wet,0,0.001258733
Bedrock and Colluvium,Wet,0.1,0.002973766
Bedrock and Colluvium,Wet,0.2,0.007009142
Bedrock and Colluvium,Wet,0.3,0.016430253
Bedrock and Colluvium,Wet,0.4,0.038029473
Bedrock and Colluvium,Wet,0.5,0.085553232
Bedrock and Colluvium,Wet,0.6,0.181274174
Bedrock and Colluvium,Wet,0.7,0.343824546
