Timestep,StratumID,StateClassID,TransitionGroupID,Amount
1986,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0184154294861039
1986,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.240867546507652
1987,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0371106425393
1987,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.137082580760633
1988,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0167102942748105
1988,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.265137998690837
1989,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0132005165187342
1989,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.25179043534682
1990,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0142160693684641
1990,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.148194022766689
1991,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.037590365523044
1991,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.100520286390332
1992,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0632100299361132
1992,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.139694704730514
1993,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0363941358600533
1993,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.204465684002097
1994,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0196409874807688
1994,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.239991245326125
1995,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0363078295897886
1995,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.102953777988737
1996,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0236570801742507
1996,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.171290632561622
1997,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0161190375723392
1997,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.14036693737578
1998,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0142317662020845
1998,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.0995859471696516
1999,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.016112373622187
1999,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.0547494074586187
